"region_final1","date","specimen","h3n2","h3n2_LL","h3n2_UL","bv","bv_LL","bv_UL"
"Temperate regions (SH)",2019-06-03,11737,1282.5584435818,1262.8679290204,1301.90448089972,101.132142857143,59.9406010964465,141.303551275572
"Temperate regions (SH)",2019-06-10,13128,1271.57217918474,1243.5528660101,1299.50723416301,158.178240740741,98.5551005746241,215.250095988276
"Temperate regions (SH)",2019-06-17,12088,1139.38525393761,1114.2476531033,1163.61875131809,199.357886904762,128.300192106666,268.784197089919
"Temperate regions (SH)",2019-06-24,13219,1279.10382961382,1250.06823816785,1306.96532287677,216.539627039627,126.24051903755,304.259005129716
"Temperate regions (SH)",2019-07-01,13181,1185.13717762031,1160.98564734449,1207.57725403566,218.861591819222,141.341514900255,294.274888665477
"Temperate regions (SH)",2019-07-08,12251,932.472023403994,899.37138018631,962.495988745982,153.373015873016,90.5162271930278,211.770749903103
"Temperate regions (SH)",2019-07-15,12527,880.41729841888,852.032310191839,905.255605285754,141.254768276624,77.1396361300349,203.080412059541
"Temperate regions (SH)",2019-07-22,10643,679.863379972496,651.973972104801,703.51428383615,137.773333333333,73.3279359733711,200.726883224299
"Temperate regions (SH)",2019-07-29,9483,552.187342303197,524.439347636349,573.695363679068,146.145833333333,88.6392516060837,200.619624925162
"Temperate regions (SH)",2019-08-05,9169,514.926890454753,479.26564469675,541.104414740269,143.416666666667,69.9210867468555,216.498391027349
"Temperate regions (SH)",2019-08-12,9377,475.980580693816,431.490241910491,510.385885315198,211.573729946524,114.168619929844,307.745826533346
"Temperate regions (SH)",2019-08-19,8947,519.957651762995,482.418235037008,549.712358814937,190.353153153153,99.0339046706943,283.204998074464
"Temperate regions (SH)",2019-08-26,8948,339.557738572574,290.049992915304,383.369324410514,197.034552845528,122.420772759315,267.57153804533
"Temperate regions (SH)",2019-09-02,8147,288.59885620915,260.586524853751,310.035726626662,194.658644859813,115.8353597215,268.446408606425
"Temperate regions (SH)",2019-09-09,7571,277.782051282052,253.267294590458,293.501530710793,175.882910547397,120.920754384317,228.472584448605
"Temperate regions (SH)",2019-09-16,6721,189.277777777778,149.626075826853,214.299568968734,114.009090909091,64.8084481896419,161.965170525383
"Temperate regions (SH)",2019-09-23,6929,214.740677966102,180.73015535708,236.130340239107,96.0258215962442,63.1973290822298,128.630453958182
"Temperate regions (SH)",2019-09-30,6090,132.751020408163,106.484521461598,155.690306493625,83.0934612651031,49.1742236023966,113.823387112042
"Temperate regions (SH)",2019-10-07,6066,120.498412698413,95.7732715450375,139.484824570037,83.0694980694981,54.0253356706768,111.327441055495
"Temperate regions (SH)",2019-10-14,5082,74.9134615384615,58.2211068896074,88.2542567445047,74.6971428571429,49.6159437537567,98.7092123795985
"Temperate regions (SH)",2019-10-21,4959,60.1153846153846,44.3999244783632,74.9251039901172,55.8374384236453,26.9748222880794,83.7337627651967
"Temperate regions (SH)",2019-10-28,4464,34.5238095238095,22.5725043590681,46.972557026012,51.2238095238096,24.2974170027812,70.8646373783618
"Temperate regions (SH)",2019-11-04,4144,37.2428571428571,29.8957244610371,46.8389604056264,59.0607843137255,28.2131800695423,81.7017950571046
"Temperate regions (SH)",2019-11-11,3805,28.2666666666667,20.0156160480971,36.0959070530504,48.4666666666667,22.6413938909501,66.6834371679329
"Temperate regions (SH)",2019-11-18,3635,32.0555555555556,26.6346644199991,39.2991547340033,39.0793650793651,13.3544982983452,64.6541396671314
"Temperate regions (SH)",2019-11-25,3240,19.0974025974026,13.6388278117075,27.9681874135925,33.5727272727273,13.6648945421858,52.6161379239468
"Temperate regions (SH)",2019-12-02,3131,28.625,23.6633087972831,36.7709289633972,25.1,3.37978475292231,48.0220004528634
"Temperate regions (SH)",2019-12-09,2781,26.3382352941176,23.6337010577604,30.6426524869001,34.5952380952381,9.11241203670317,58.1699465330549
"Temperate regions (SH)",2019-12-16,2247,20.5,9.575,31.425,15.075,8.8263723481198,20.9786113388362
"Temperate regions (SH)",2019-12-23,1818,26,13.65,38.35,10.875,5.2858308905857,16.953849191675
"Temperate regions (SH)",2019-12-30,2339,19.5833333333333,13.1783418078853,27.563431995959,34.025641025641,19.1445823723068,48.2615188636931
"Temperate regions (SH)",2020-01-06,2746,20.3333333333333,12.4364495635649,31.2028573877115,38.3,25.8439691771589,50.0769486036052
"Temperate regions (SH)",2020-01-13,2803,12.9104761904762,9.03744217563175,19.0289271879835,40.5833333333333,21.6866699916977,54.0514188163606
"Temperate regions (SH)",2020-01-20,3099,19.9003181336161,12.3418831259751,30.7140731185446,46.0277777777778,31.2122478139849,57.4447849864252
"Temperate regions (SH)",2020-01-27,3314,19.3591013824885,14.0922377075498,26.7051412883254,61.8863636363636,42.5226158798122,75.3894238005568
"Temperate regions (SH)",2020-02-03,3384,22.9537037037037,16.0709243962702,32.9200589059465,53.6428571428571,28.5067203212946,72.7353380662562
"Temperate regions (SH)",2020-02-10,3802,16.6764705882353,9.86491779925775,27.6283244453314,41.9333333333334,18.003598283087,58.3093746240305
"Temperate regions (SH)",2020-02-17,3528,24.5883724119018,17.4744707219893,33.8983156808561,31.75,7.54240177382129,55.7415962413404
"Temperate regions (SH)",2020-02-24,4102,33.7959869579573,27.5226358219471,41.5230872007317,43.5416666666667,28.205880774301,53.5656161453105
"Temperate regions (SH)",2020-03-02,5412,34.254061302682,24.9665886239144,47.8663444638345,60.6190476190476,34.5959027084208,79.1564119852335
"Temperate regions (SH)",2020-03-09,8330,50.3527308777549,34.6497373435665,72.7723266275475,90.0318181818182,58.712325788194,113.869962652064
"Temperate regions (SH)",2020-03-16,9414,37.598763368984,18.9016895163143,65.0211032221406,124.6,73.1607767105678,154.812410531357
"Temperate regions (SH)",2020-03-23,10717,63.5947368421053,25.4660585699286,104.507247810883,62.6666666666667,29.3492837450659,86.887614121165
"Temperate regions (SH)",2020-03-30,8276,11.7619047619048,0.540699277501252,25.911274294846,26.5,5.26973319220206,43.2231011897578
"Temperate regions (SH)",2020-04-06,7121,12.3030303030303,1.65526944012727,28.7421062357206,30.3,14.725342652054,41.4925012725961
"Temperate regions (SH)",2020-04-13,7142,2,0.1,3.9,15.1666666666667,2.95613883008419,25.4992088290657
"Temperate regions (SH)",2020-04-20,7326,6.5,0.325,12.675,16.5,2.725,30.275
"Temperate regions (SH)",2020-04-27,7511,4.2,0.187856779258259,9.46418781369885,18.6666666666667,4.62850542618522,28.5732594239446
"Temperate regions (SH)",2020-05-04,12516,2,0.1,3.9,3.5,0.175,6.825
"Temperate regions (SH)",2020-05-11,13724,2,0.1,3.9,4.5,0.225,8.775
"Temperate regions (SH)",2020-05-18,14982,0,0,0,0.5,0.025,0.975
"Temperate regions (SH)",2020-05-25,16383,2.5,0.125,4.875,1,0.05,1.95
"Temperate regions (SH)",2020-06-01,16070,0.5,0.025,0.975,1,0.05,1.95
"Temperate regions (SH)",2020-06-08,15658,0,0,0,0,0,0
"Temperate regions (SH)",2020-06-15,19599,0,0,0,2,0.1,3.9
"Temperate regions (SH)",2020-06-22,24010,1,0.05,1.95,2.5,0.125,4.875
"Temperate regions (SH)",2020-06-29,25360,1,0.05,1.95,3,0.15,5.85
"Temperate regions (SH)",2020-07-06,27390,0,0,0,1,0.05,1.95
"Temperate regions (SH)",2020-07-13,33369,2,0.1,3.9,0.5,0.025,0.975
"Temperate regions (SH)",2020-07-20,40657,0,0,0,0,0,0
"Temperate regions (SH)",2020-07-27,44012,0,0,0,0.5,0.025,0.975
"Temperate regions (SH)",2020-08-03,53099,0,0,0,0.5,0.025,0.975
"Temperate regions (SH)",2020-08-10,52639,0,0,0,0,0,0
"Temperate regions (SH)",2020-08-17,50365,0,0,0,0,0,0
"Temperate regions (SH)",2020-08-24,41714,0.5,0.025,0.975,0,0,0
"Temperate regions (SH)",2020-08-31,41039,0.5,0.025,0.975,1,0.05,1.95
